step,avg_travel_time,vehicle_count,avg_waiting_time
0,99.19409808811305,284,0.6901408450704225
1,99.25665004156276,284,1.3732394366197183
2,99.3187863674148,282,2.0673758865248226
3,99.38092269326684,282,2.75177304964539
4,99.1969320066335,288,3.3506944444444446
5,99.25974295190713,286,4.031468531468532
6,99.32234660033167,285,4.712280701754386
7,99.38495024875621,285,5.371929824561404
8,99.44755389718077,285,6.024561403508772
9,99.26468155500413,292,6.52054794520548
10,99.328370554177,291,7.178694158075602
11,99.39205955334988,291,7.8075601374570445
12,99.45574855252275,291,8.436426116838488
13,99.51943755169562,291,9.051546391752577
14,99.33869636963696,300,9.373333333333333
15,99.40387788778878,298,10.036912751677852
16,99.4690594059406,298,10.630872483221477
17,99.53341584158416,294,11.370748299319727
18,99.59777227722772,294,11.97278911564626
19,99.41748971193415,301,12.285714285714286
20,99.48230452674898,297,13.043771043771043
21,99.54650205761317,294,13.77891156462585
22,99.61069958847736,294,14.370748299319727
23,99.67407407407407,290,15.168965517241379
24,99.49363711001642,299,15.297658862876254
25,99.55767651888341,294,16.14965986394558
26,99.62171592775042,294,16.738095238095237
27,99.68555008210181,293,17.38566552901024
28,99.7487684729064,290,18.162068965517243
29,99.56859131859132,299,18.19732441471572
30,99.63247338247338,294,19.05442176870748
31,99.69635544635544,294,19.642857142857142
32,99.75982800982801,292,20.33219178082192
33,99.82289107289107,290,21.02758620689655
34,99.64297385620915,299,20.94983277591973
35,99.70669934640523,294,21.81972789115646
36,99.77042483660131,294,22.37074829931973
37,99.83374183006536,292,23.044520547945204
38,99.89665032679738,290,23.724137931034484
39,99.71699266503667,299,23.535117056856187
40,99.78056234718827,294,24.41156462585034
41,99.84413202933985,294,24.979591836734695
42,99.90688671556642,290,25.76896551724138
43,99.96964140179298,290,26.355172413793102
44,99.78943089430895,293,26.501706484641637
45,99.85284552845529,292,27.171232876712327
46,99.91626016260163,292,27.753424657534246
47,99.97967479674797,294,28.14965986394558
48,100.04308943089431,294,28.74829931972789
49,99.86476074614761,301,28.677740863787374
50,99.92964314679644,301,29.27906976744186
51,99.99452554744525,302,29.79139072847682
52,100.05940794809408,302,30.410596026490065
53,100.12307380373073,296,31.0777027027027
54,99.94437702265373,300,30.706666666666667
55,100.0082928802589,298,31.56711409395973
56,100.07099514563107,292,32.28082191780822
57,100.13369741100324,293,32.84982935153584
58,100.19518608414239,287,33.609756097560975
59,100.01594027441485,297,33.16161616161616
60,100.07768361581921,290,34.10689655172414
61,100.13942695722356,290,34.813793103448276
62,100.20016142050041,285,35.72982456140351
63,100.26089588377724,286,36.32867132867133
64,100.08011272141707,289,36.346020761245676
65,100.1413043478261,288,37.170138888888886
66,100.2018921095008,286,37.84265734265734
67,100.26247987117553,286,38.54895104895105
68,100.3226650563607,284,39.264084507042256
69,100.1429718875502,294,38.605442176870746
70,100.20401606425703,289,39.75778546712803
71,100.26506024096386,289,40.43944636678201
72,100.32570281124498,288,41.11805555555556
73,100.3863453815261,288,41.80555555555556
74,100.20673076923077,293,41.7542662116041
75,100.26802884615384,292,42.56506849315068
76,100.32932692307692,292,43.23972602739726
77,100.390625,292,43.91095890410959
78,100.45192307692308,293,44.42662116040955
79,100.27398081534773,302,43.75165562913907
80,100.3363309352518,299,44.836120401337794
81,100.39868105515588,300,45.32333333333333
82,100.46103117505996,300,45.96
83,100.52338129496403,300,46.593333333333334
84,100.34728867623605,311,45.543408360128616
85,100.41108452950559,308,46.603896103896105
86,100.47488038277513,308,47.20779220779221
87,100.53787878787878,304,47.5953947368421
88,100.60087719298245,304,48.2203947368421
89,100.42501988862371,310,47.05806451612903
90,100.48826571201273,305,48.00327868852459
91,100.5511137629276,303,48.4983498349835
92,100.61396181384248,303,49.1056105610561
93,100.67601431980907,299,49.458193979933114
94,100.50019841269841,309,48.44660194174757
95,100.56289682539682,303,49.082508250825086
96,100.62559523809524,303,49.666666666666664
97,100.68789682539682,301,50.11295681063123
98,100.74980158730159,299,50.57190635451505
99,100.57422802850357,309,49.50161812297735
100,100.6367775138559,303,50.0990099009901
101,100.69932699920824,303,50.679867986798676
102,100.76148060174188,301,51.10299003322259
103,100.82323832145686,299,51.52173913043478
